epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.6029,1.56997,2.94029,1.24008,0.44436,0.21,0.16651,0.09969,1.27652,1.8518,1.0613,7.457e-05,7.457e-05,7.457e-05
2,99.8614,1.29691,1.67965,1.0786,0.38818,0.28416,0.27539,0.18491,1.37237,1.51545,1.09572,0.000149493,0.000149493,0.000149493
3,146.224,1.27982,1.52501,1.07246,0.59248,0.30018,0.3421,0.24434,1.2315,1.28606,1.05107,0.000223667,0.000223667,0.000223667
4,191.915,1.23449,1.48871,1.05687,0.48685,0.39319,0.38901,0.2531,1.24253,1.26903,1.0475,0.000223629,0.000223629,0.000223629
5,237.776,1.21433,1.38693,1.05328,0.40206,0.40969,0.37059,0.26194,1.20729,1.33596,1.03097,0.000222505,0.000222505,0.000222505
6,283.5,1.1849,1.30494,1.03711,0.51213,0.4102,0.41919,0.30064,1.14971,1.36805,1.0251,0.000221382,0.000221382,0.000221382
7,334.231,1.18804,1.23911,1.02604,0.43887,0.41655,0.41008,0.2835,1.17807,1.23904,1.01766,0.000220258,0.000220258,0.000220258
8,379.28,1.1617,1.24964,1.02497,0.50238,0.4006,0.40985,0.30381,1.15875,1.18148,1.00785,0.000219134,0.000219134,0.000219134
9,425.834,1.14634,1.18998,1.01159,0.44073,0.39664,0.36524,0.24989,1.14864,1.22592,0.99951,0.000218011,0.000218011,0.000218011
10,471.216,1.1345,1.15885,1.01195,0.38108,0.51523,0.38683,0.28221,1.08785,1.2511,0.98472,0.000216887,0.000216887,0.000216887
11,516.593,1.11402,1.13321,1.00648,0.61778,0.39261,0.47254,0.35723,1.10017,1.18146,0.96784,0.000215763,0.000215763,0.000215763
12,562.377,1.11992,1.10075,1.00218,0.45918,0.48692,0.44027,0.33099,1.13567,1.1577,0.98877,0.00021464,0.00021464,0.00021464
13,607.728,1.11097,1.09588,0.99978,0.70254,0.36982,0.44303,0.31792,1.12552,1.12862,0.97245,0.000213516,0.000213516,0.000213516
14,653.739,1.11728,1.0337,0.98946,0.50076,0.43957,0.43736,0.31424,1.14098,1.12945,0.98425,0.000212393,0.000212393,0.000212393
15,699.325,1.08113,1.02373,0.98313,0.58949,0.46077,0.45567,0.32827,1.11892,1.18749,0.97929,0.000211269,0.000211269,0.000211269
16,745.034,1.09449,1.01943,0.99146,0.74224,0.38191,0.50713,0.36752,1.08108,1.07376,0.97273,0.000210145,0.000210145,0.000210145
17,791.339,1.08315,1.03629,0.98587,0.56621,0.42931,0.45265,0.33311,1.09521,1.18493,0.96651,0.000209022,0.000209022,0.000209022
18,837.146,1.07383,1.01208,0.98197,0.53006,0.44588,0.46363,0.33365,1.08987,1.14626,0.96382,0.000207898,0.000207898,0.000207898
19,882.858,1.06318,1.00793,0.97539,0.6356,0.4475,0.49967,0.36548,1.10732,1.09676,0.9594,0.000206774,0.000206774,0.000206774
20,928.549,1.07965,0.97194,0.98433,0.57863,0.46344,0.53238,0.40681,1.11267,1.07768,0.96758,0.000205651,0.000205651,0.000205651
21,977.113,1.0597,0.94462,0.97316,0.65215,0.46934,0.52704,0.39785,1.09509,1.06808,0.95864,0.000204527,0.000204527,0.000204527
22,1022.84,1.06303,0.91776,0.9717,0.4707,0.51506,0.52268,0.39722,1.07627,1.08266,0.95987,0.000203403,0.000203403,0.000203403
23,1068.38,1.0345,0.90463,0.96216,0.67248,0.45188,0.52112,0.38999,1.10019,1.1816,0.9593,0.00020228,0.00020228,0.00020228
24,1113.96,1.04922,0.9203,0.96577,0.5387,0.52449,0.56442,0.4267,1.03663,1.01518,0.94507,0.000201156,0.000201156,0.000201156
25,1165.49,1.03129,0.89293,0.95973,0.65576,0.45778,0.52857,0.40498,1.0512,1.0671,0.94131,0.000200032,0.000200032,0.000200032
26,1211.11,1.03701,0.87729,0.96127,0.54189,0.48513,0.50542,0.37753,1.08739,1.08397,0.95745,0.000198909,0.000198909,0.000198909
27,1257.03,1.01395,0.86958,0.95723,0.60471,0.51716,0.53915,0.39941,1.07233,1.03401,0.95484,0.000197785,0.000197785,0.000197785
28,1303.01,1.02728,0.85088,0.95847,0.48956,0.51875,0.54147,0.41978,1.06848,1.11037,0.95827,0.000196661,0.000196661,0.000196661
29,1348.74,1.01551,0.8327,0.95319,0.62455,0.45473,0.56132,0.42979,1.06867,1.1276,0.95573,0.000195538,0.000195538,0.000195538
30,1401.4,1.00501,0.82887,0.95412,0.66633,0.47787,0.54574,0.42379,1.04907,1.09183,0.94851,0.000194414,0.000194414,0.000194414
